item_name,category,price,unit,calories,protein_g,carbs_g,fat_g,fiber_g
Frozen Waffles,Frozen,3.54,per bottle,471,11.9,38.6,10.1,8.8
Cream,Dairy,11.91,per bottle,274,21.5,50.5,18.2,7.6
Muffin,Bakery,16.95,per pack,218,27.3,29.1,18.0,8.4
Granola Bar,Snacks,14.67,per box,105,26.8,18.4,15.5,2.4
Cream,Dairy,1.69,per pack,433,8.3,24.6,2.0,7.2
Olive Oil,Pantry,6.67,per dozen,448,26.6,14.1,22.5,7.0
Milk,Dairy,6.91,per bottle,181,12.1,64.2,12.9,8.4
Granola Bar,Snacks,12.22,per dozen,224,13.0,35.2,15.0,4.2
Crackers,Snacks,18.88,per pack,471,27.4,60.2,4.2,8.8
Potato,Produce,7.59,per bottle,87,0.1,4.9,1.4,7.4
Lamb,Meat & Seafood,17.39,per pack,110,1.0,62.5,21.5,0.9
Apple,Produce,14.17,per bottle,157,23.9,58.0,7.8,6.6
Cola,Beverages,10.2,per dozen,310,5.4,58.4,17.1,3.4
Honey,Pantry,10.06,per bottle,224,9.6,53.9,9.3,4.6
Iced Tea,Beverages,7.62,per dozen,54,28.2,25.7,16.0,1.2
Frozen Fries,Frozen,2.23,per box,288,24.7,61.5,2.3,5.7
Frozen Pasta,Frozen,4.8,per pack,286,16.6,51.9,10.0,7.3
Rice Cakes,Snacks,8.17,per bottle,288,18.7,5.1,16.6,1.4
Rice,Pantry,10.76,per dozen,330,16.2,70.8,21.4,2.2
Pork Chops,Meat & Seafood,19.19,per box,240,22.9,66.9,16.6,4.6
Broccoli,Produce,10.09,per pack,101,11.4,44.2,6.0,1.9
Sugar,Pantry,3.6,per dozen,89,16.4,47.9,16.7,3.0
Spinach,Produce,14.73,per box,240,2.8,0.4,12.3,2.6
Muffin,Bakery,4.1,per pack,442,26.2,32.8,0.6,8.0
Potato,Produce,5.72,per box,409,25.5,13.2,11.5,4.3
Sparkling Water,Beverages,7.98,per box,212,11.7,27.4,6.8,5.6
Frozen Chicken,Frozen,7.41,per bag,103,1.5,38.1,9.5,8.1
Frozen Chicken,Frozen,16.26,per pack,469,20.3,72.9,3.1,3.5
Green Tea,Beverages,15.61,per bag,506,15.6,18.2,5.6,5.8
Frozen Waffles,Frozen,10.93,per bottle,525,12.1,79.6,9.3,9.4
Onion,Produce,17.12,per bag,323,23.3,23.7,5.7,7.7
Carrot,Produce,17.31,per bag,191,29.0,41.2,10.2,6.1
Frozen Pasta,Frozen,6.37,per dozen,452,0.6,5.5,17.8,5.0
Pork Chops,Meat & Seafood,19.91,per box,521,14.6,28.1,20.0,9.2
Peanut Butter,Pantry,8.58,per lb,504,17.4,51.4,0.8,8.1
Iced Tea,Beverages,18.55,per bag,36,5.5,38.8,2.5,7.8
Chocolate Bar,Snacks,19.18,per pack,269,21.5,12.6,13.2,4.1
Frozen Fries,Frozen,3.62,per box,167,9.9,18.8,7.9,4.0
Oats,Pantry,8.97,per lb,589,23.6,38.7,10.8,2.9
Ice Cream,Frozen,18.33,per bottle,515,13.0,71.7,17.9,4.8
Sparkling Water,Beverages,5.82,per bottle,241,3.8,5.6,2.9,7.5
Smoothie,Beverages,16.31,per dozen,204,16.8,19.4,23.9,3.8
Pasta,Pantry,1.16,per lb,197,7.2,7.9,2.1,3.0
Butter,Dairy,13.75,per pack,462,15.7,11.8,2.9,4.1
Cola,Beverages,19.68,per bottle,151,3.8,0.2,11.3,6.5
Crab,Meat & Seafood,18.72,per bottle,186,18.7,0.1,18.9,1.0
Donut,Bakery,6.63,per box,224,7.8,56.1,6.5,5.8
Frozen Fish,Frozen,12.44,per bottle,597,0.2,65.7,7.5,0.1
Banana,Produce,9.67,per bottle,203,14.2,75.0,9.2,2.7
Sour Cream,Dairy,10.75,per bottle,328,29.2,64.5,13.5,0.1
Frozen Chicken,Frozen,6.32,per bag,104,24.3,31.4,22.1,7.2
Salmon,Meat & Seafood,15.12,per pack,191,10.9,29.5,24.1,1.8
Lamb,Meat & Seafood,15.78,per bottle,169,8.3,10.0,1.0,3.1
Broccoli,Produce,18.52,per bag,444,15.0,71.6,23.6,5.7
Frozen Pizza,Frozen,10.94,per pack,187,18.5,54.4,5.0,3.7
Strawberry,Produce,17.01,per dozen,382,12.5,33.1,21.5,6.3
Oats,Pantry,18.57,per pack,188,1.3,26.4,22.5,1.8
Carrot,Produce,2.57,per box,521,8.9,1.4,8.7,9.9
Orange Juice,Beverages,4.58,per lb,167,6.4,32.1,6.2,6.4
Crackers,Snacks,14.91,per lb,486,8.9,17.0,16.1,10.0
Cheese,Dairy,1.79,per pack,496,22.2,76.0,1.6,7.3
Croissant,Bakery,3.01,per bag,353,5.2,77.2,12.6,6.0
